               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  79,             0.90072,              1.4907,              1.1393,             0.43297,             0.59047,             0.50383,              0.4535,                   0,                   0,                   0,           0.0093822,           0.0093822,           0.0093822
                  80,             0.90051,              1.4824,              1.1494,             0.53237,             0.56639,             0.56289,             0.50421,                   0,                   0,                   0,           0.0093743,           0.0093743,           0.0093743
                  81,             0.89883,               1.472,              1.1452,             0.44717,             0.61736,             0.52432,             0.47092,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
                  82,             0.88254,              1.4497,              1.1465,             0.48514,             0.57349,             0.51907,             0.46852,                   0,                   0,                   0,           0.0093585,           0.0093585,           0.0093585
                  83,             0.88905,              1.4376,              1.1478,             0.50349,             0.60874,             0.56868,             0.51885,                   0,                   0,                   0,           0.0093506,           0.0093506,           0.0093506
                  84,             0.86558,              1.4797,              1.1268,             0.46194,             0.67411,             0.54711,             0.49951,                   0,                   0,                   0,           0.0093426,           0.0093426,           0.0093426
                  85,              0.8811,              1.4604,              1.1383,             0.52131,             0.58999,             0.57666,              0.5248,                   0,                   0,                   0,           0.0093347,           0.0093347,           0.0093347
                  86,             0.89033,              1.4844,              1.1449,             0.46464,             0.57835,             0.54631,             0.49877,                   0,                   0,                   0,           0.0093268,           0.0093268,           0.0093268
                  87,             0.90927,              1.4787,              1.1524,             0.51132,             0.60314,             0.58799,             0.53809,                   0,                   0,                   0,           0.0093189,           0.0093189,           0.0093189
                  88,             0.87294,              1.4439,              1.1433,             0.41191,             0.64225,             0.53788,             0.48749,                   0,                   0,                   0,            0.009311,            0.009311,            0.009311
                  89,             0.86974,              1.4521,              1.1449,             0.53411,             0.55488,             0.56278,             0.51652,                   0,                   0,                   0,            0.009303,            0.009303,            0.009303
                  90,             0.86472,              1.4791,              1.1397,             0.56006,             0.57426,             0.59225,             0.54536,                   0,                   0,                   0,           0.0092951,           0.0092951,           0.0092951
                  91,             0.85899,               1.422,              1.1364,             0.51304,             0.58977,             0.56862,             0.51984,                   0,                   0,                   0,           0.0092872,           0.0092872,           0.0092872
                  92,             0.85288,              1.4155,              1.1416,             0.55929,             0.59413,              0.5984,             0.54354,                   0,                   0,                   0,           0.0092793,           0.0092793,           0.0092793
                  93,             0.84584,              1.4274,              1.1386,             0.50394,             0.62302,             0.57919,             0.53142,                   0,                   0,                   0,           0.0092714,           0.0092714,           0.0092714
                  94,             0.85813,              1.4253,              1.1333,             0.53126,             0.57627,             0.57086,              0.5196,                   0,                   0,                   0,           0.0092634,           0.0092634,           0.0092634
                  95,             0.85469,              1.4305,              1.1459,             0.54922,             0.60522,             0.61158,              0.5628,                   0,                   0,                   0,           0.0092555,           0.0092555,           0.0092555
                  96,             0.86869,              1.4216,              1.1484,             0.49557,             0.59635,             0.54796,             0.49817,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  97,             0.84401,              1.4024,              1.1349,             0.51631,             0.59545,             0.57583,             0.52762,                   0,                   0,                   0,           0.0092397,           0.0092397,           0.0092397
                  98,             0.85151,              1.4294,              1.1282,             0.55231,             0.52727,             0.58438,             0.53541,                   0,                   0,                   0,           0.0092318,           0.0092318,           0.0092318
                  99,             0.84754,              1.3789,              1.1424,              0.5683,             0.57646,             0.58133,             0.53547,                   0,                   0,                   0,           0.0092238,           0.0092238,           0.0092238
                 100,             0.84669,              1.4241,              1.1344,             0.55239,             0.54568,             0.55094,             0.50477,                   0,                   0,                   0,           0.0092159,           0.0092159,           0.0092159
                 101,             0.83447,              1.3825,              1.1339,             0.53549,             0.64661,             0.59283,             0.53586,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                 102,             0.85043,              1.4241,              1.1389,             0.51016,             0.62663,             0.57255,             0.52658,                   0,                   0,                   0,           0.0092001,           0.0092001,           0.0092001
                 103,             0.84357,              1.3898,               1.126,             0.53005,              0.6612,             0.60275,             0.55478,                   0,                   0,                   0,           0.0091922,           0.0091922,           0.0091922
                 104,             0.84279,              1.4023,              1.1377,             0.54384,             0.60065,              0.5953,             0.54453,                   0,                   0,                   0,           0.0091842,           0.0091842,           0.0091842
                 105,             0.84839,              1.3783,              1.1429,             0.52966,             0.60112,             0.58321,             0.53273,                   0,                   0,                   0,           0.0091763,           0.0091763,           0.0091763
                 106,             0.81262,              1.3573,              1.1241,             0.50549,             0.64336,                0.59,              0.5451,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                 107,             0.82679,              1.3737,              1.1285,             0.51588,             0.65631,              0.6133,             0.56724,                   0,                   0,                   0,           0.0091605,           0.0091605,           0.0091605
                 108,             0.81917,              1.3803,              1.1228,             0.52068,             0.62383,             0.58869,             0.54054,                   0,                   0,                   0,           0.0091526,           0.0091526,           0.0091526
                 109,             0.80827,              1.3694,               1.134,              0.5476,             0.62588,             0.61119,             0.56691,                   0,                   0,                   0,           0.0091446,           0.0091446,           0.0091446
                 110,              0.8141,              1.3583,              1.1272,             0.50285,             0.64366,             0.59379,             0.54851,                   0,                   0,                   0,           0.0091367,           0.0091367,           0.0091367
                 111,             0.82313,              1.3888,              1.1355,             0.50013,             0.67689,             0.60987,             0.56494,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                 112,              0.8234,              1.3871,              1.1353,              0.5656,             0.55539,             0.59912,             0.55451,                   0,                   0,                   0,           0.0091209,           0.0091209,           0.0091209
                 113,             0.79054,              1.3553,              1.1146,             0.51083,             0.68465,             0.60548,             0.56368,                   0,                   0,                   0,            0.009113,            0.009113,            0.009113
                 114,              0.8082,              1.3657,              1.1183,             0.53216,             0.61157,             0.59297,             0.54614,                   0,                   0,                   0,            0.009105,            0.009105,            0.009105
                 115,             0.78106,              1.3386,              1.1132,             0.58924,             0.60948,             0.63172,             0.58479,                   0,                   0,                   0,           0.0090971,           0.0090971,           0.0090971
                 116,             0.82389,              1.3382,              1.1227,             0.53939,              0.6088,             0.59374,             0.54862,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                 117,             0.81796,              1.3285,              1.1202,             0.54659,             0.61741,             0.59012,             0.54954,                   0,                   0,                   0,           0.0090813,           0.0090813,           0.0090813
                 118,             0.80575,              1.3386,              1.1205,             0.60017,             0.60374,              0.6321,             0.58539,                   0,                   0,                   0,           0.0090734,           0.0090734,           0.0090734
                 119,               0.792,              1.3156,              1.1126,             0.57161,             0.62794,             0.63508,             0.58488,                   0,                   0,                   0,           0.0090654,           0.0090654,           0.0090654
                 120,              0.7913,              1.3132,              1.1032,             0.57068,             0.59612,             0.62585,             0.58141,                   0,                   0,                   0,           0.0090575,           0.0090575,           0.0090575
                 121,             0.81268,              1.3597,              1.1409,             0.60837,             0.62102,             0.62989,             0.57709,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                 122,             0.78713,              1.3418,              1.1229,             0.54231,             0.63056,             0.62099,             0.56917,                   0,                   0,                   0,           0.0090417,           0.0090417,           0.0090417
                 123,             0.79168,              1.3234,               1.119,             0.55578,             0.60489,             0.60374,             0.55691,                   0,                   0,                   0,           0.0090338,           0.0090338,           0.0090338
                 124,             0.79864,              1.3254,               1.112,             0.53364,             0.66243,             0.62887,             0.58435,                   0,                   0,                   0,           0.0090258,           0.0090258,           0.0090258
                 125,             0.80373,              1.3378,               1.119,             0.60878,             0.59954,              0.6327,             0.59001,                   0,                   0,                   0,           0.0090179,           0.0090179,           0.0090179
                 126,             0.80585,              1.3448,              1.1272,              0.5775,             0.62105,             0.63449,             0.59318,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                 127,             0.78082,              1.3003,              1.1068,             0.59806,             0.64067,              0.6221,             0.57864,                   0,                   0,                   0,           0.0090021,           0.0090021,           0.0090021
                 128,             0.79032,              1.3113,              1.1241,              0.6086,             0.60332,              0.6293,             0.58526,                   0,                   0,                   0,           0.0089942,           0.0089942,           0.0089942
                 129,             0.77797,              1.3114,              1.1137,             0.58862,              0.6561,             0.65207,             0.60549,                   0,                   0,                   0,           0.0089862,           0.0089862,           0.0089862
                 130,             0.78403,              1.3253,              1.1184,             0.54241,             0.63229,             0.62487,             0.58572,                   0,                   0,                   0,           0.0089783,           0.0089783,           0.0089783
                 131,             0.76857,              1.2844,              1.1242,             0.59014,             0.62497,              0.6409,             0.59379,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                 132,             0.76248,              1.3109,              1.1206,             0.61143,             0.57388,             0.62926,             0.58374,                   0,                   0,                   0,           0.0089625,           0.0089625,           0.0089625
                 133,             0.76996,              1.2806,              1.1199,              0.5591,             0.59329,             0.60102,             0.55851,                   0,                   0,                   0,           0.0089546,           0.0089546,           0.0089546
                 134,             0.74785,              1.2964,              1.1088,             0.59993,             0.62675,             0.63956,             0.59784,                   0,                   0,                   0,           0.0089466,           0.0089466,           0.0089466
                 135,             0.77185,              1.2841,              1.1219,             0.52594,             0.64422,             0.60867,             0.56725,                   0,                   0,                   0,           0.0089387,           0.0089387,           0.0089387
                 136,               0.766,              1.2869,              1.1067,             0.56389,             0.66785,             0.62939,             0.58489,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                 137,              0.7682,              1.2983,              1.1136,             0.56219,             0.63405,             0.63071,              0.5878,                   0,                   0,                   0,           0.0089229,           0.0089229,           0.0089229
                 138,             0.75488,              1.2568,              1.1057,             0.56398,             0.60412,             0.61064,             0.56892,                   0,                   0,                   0,            0.008915,            0.008915,            0.008915
