                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.58345,                 0.6393,                  1.137,                0.89207,                0.42575,                0.61501,                 0.5121,                0.46731,                 0.4276,                 0.6186,                0.51598,                0.38756,                0.47649,                0.56551,                 1.1712,                0.86553,              0.0010561,              0.0010561,              0.0010561
                     49,                0.58016,                0.63641,                 1.1475,                0.87535,                0.49209,                0.52241,                0.51815,                0.46768,                0.49589,                0.52691,                0.52308,                0.39481,                0.47588,                0.60193,                 1.1518,                0.86029,               0.001052,               0.001052,               0.001052
                     50,                0.56883,                0.63407,                 1.1362,                0.89029,                0.46984,                0.56044,                0.52945,                0.47668,                0.47359,                0.56493,                0.53415,                0.40302,                0.48238,                 0.5508,                 1.1407,                0.86546,              0.0010479,              0.0010479,              0.0010479
                     51,                 0.5832,                0.63965,                 1.1467,                 0.8864,                0.46203,                0.57395,                 0.5174,                0.46875,                  0.465,                0.58467,                 0.5213,                0.39076,                0.45676,                0.55228,                 1.1423,                0.85202,              0.0010438,              0.0010438,              0.0010438
                     52,                0.58179,                0.61621,                 1.1086,                0.88055,                 0.5151,                 0.5553,                0.52286,                 0.4722,                0.51836,                 0.5589,                0.52806,                0.39014,                0.49012,                0.54486,                 1.1289,                0.86226,              0.0010396,              0.0010396,              0.0010396
                     53,                 0.5754,                0.63302,                 1.0691,                 0.8836,                0.49186,                0.58625,                0.54407,                0.49072,                0.49445,                0.58944,                0.54758,                0.41303,                0.47889,                 0.5837,                 1.1211,                0.86061,              0.0010355,              0.0010355,              0.0010355
                     54,                0.56874,                0.63512,                 1.0962,                0.87983,                0.42168,                0.64545,                0.52251,                0.46846,                0.42474,                0.64926,                0.52812,                0.39677,                 0.4653,                 0.5533,                 1.1571,                0.84902,              0.0010314,              0.0010314,              0.0010314
                     55,                0.56125,                0.61732,                 1.1033,                0.87658,                0.51783,                0.60145,                0.55322,                0.49895,                0.52035,                0.60505,                0.55807,                 0.4189,                0.48578,                0.75585,                 1.0996,                0.85697,              0.0010273,              0.0010273,              0.0010273
                     56,                0.56294,                0.62931,                 1.1008,                0.87447,                0.43376,                0.61335,                0.52404,                0.47099,                0.43666,                0.61763,                0.52886,                0.39215,                0.47354,                0.54632,                 1.1424,                0.85051,              0.0010231,              0.0010231,              0.0010231
                     57,                0.55404,                0.61171,                 1.1088,                 0.8788,                0.48793,                0.57365,                0.54384,                0.48953,                0.49098,                0.57774,                0.54744,                0.41402,                0.45759,                0.55728,                 1.1297,                0.85301,               0.001019,               0.001019,               0.001019
                     58,                0.54207,                0.60371,                 1.0825,                 0.8729,                 0.4679,                0.54108,                0.47624,                0.43033,                0.46578,                0.54724,                0.48078,                 0.3558,                0.46479,                0.58285,                 1.2951,                0.85112,              0.0010149,              0.0010149,              0.0010149
                     59,                0.55557,                 0.6194,                 1.0897,                0.87187,                0.48742,                0.61939,                0.54648,                0.49427,                 0.4898,                0.62257,                0.55018,                0.41882,                 0.4492,                0.53166,                 1.1062,                0.84614,              0.0010107,              0.0010107,              0.0010107
                     60,                0.54509,                0.60748,                 1.0577,                0.88128,                0.46517,                0.62956,                0.53838,                0.49324,                0.46929,                0.63454,                 0.5446,                0.40495,                0.43467,                0.54757,                 1.1004,                0.84797,              0.0010066,              0.0010066,              0.0010066
                     61,                0.54128,                0.61205,                 1.0741,                0.87372,                0.45942,                  0.639,                0.54391,                0.48944,                 0.4624,                0.64016,                0.55025,                0.40408,                 0.4679,                0.55094,                  1.096,                0.85433,              0.0010025,              0.0010025,              0.0010025
                     62,                0.52807,                0.61324,                  1.057,                0.86828,                0.51569,                 0.5761,                0.56866,                0.51486,                0.51837,                0.57592,                0.57232,                0.42618,                0.43444,                0.52887,                 1.0686,                0.84872,             0.00099837,             0.00099837,             0.00099837
                     63,                0.53896,                0.59845,                 1.0511,                0.86933,                0.43377,                0.65552,                0.53434,                0.48444,                0.43775,                 0.6554,                0.53685,                0.41302,                0.44998,                0.53638,                 1.1136,                0.84924,             0.00099425,             0.00099425,             0.00099425
                     64,                0.53604,                0.59341,                  1.057,                0.87281,                0.45252,                0.67572,                0.56338,                   0.51,                0.46174,                0.65329,                0.56741,                0.41889,                0.46716,                0.54986,                 1.0667,                0.85483,             0.00099013,             0.00099013,             0.00099013
                     65,                0.52614,                0.59628,                 1.0591,                0.86855,                0.49465,                0.66114,                0.56605,                0.51243,                0.50208,                 0.6487,                0.57002,                0.42244,                0.47233,                0.54096,                 1.0804,                0.85161,               0.000986,               0.000986,               0.000986
                     66,                0.53229,                0.59808,                 1.0477,                0.87137,                0.47685,                0.64746,                0.55004,                0.50274,                0.47614,                0.65348,                0.55449,                0.41323,                0.42981,                0.54507,                 1.1003,                0.85043,             0.00098187,             0.00098187,             0.00098187
                     67,                0.51367,                0.58282,                 1.0357,                0.86008,                 0.4904,                0.62519,                0.55499,                  0.499,                0.49484,                0.63018,                0.56087,                 0.4132,                0.48953,                0.56419,                 1.1146,                0.85893,             0.00097775,             0.00097775,             0.00097775
                     68,                0.51782,                0.58738,                 1.0451,                0.87004,                0.52698,                0.59717,                0.57055,                0.52179,                0.53046,                0.60125,                0.57601,                0.43549,                0.41923,                0.51435,                 1.0676,                0.84289,             0.00097362,             0.00097362,             0.00097362
                     69,                0.51098,                0.58512,                 1.0025,                0.86267,                0.49339,                0.58989,                0.55594,                0.50717,                0.48978,                0.59353,                0.56034,                0.41344,                0.44144,                0.52525,                  1.075,                0.84575,              0.0009695,              0.0009695,              0.0009695
                     70,                 0.4998,                0.56129,                0.99074,                0.85605,                0.49866,                 0.6453,                0.56016,                0.51593,                0.50266,                0.65001,                0.56532,                0.42803,                0.42884,                  0.535,                 1.0893,                0.84779,             0.00096537,             0.00096537,             0.00096537
                     71,                0.53398,                0.61523,                 1.0188,                0.87242,                0.51007,                0.66679,                0.57805,                0.53031,                0.51377,                0.66862,                 0.5841,                0.43892,                0.42923,                0.51438,                 1.0355,                0.84895,             0.00096125,             0.00096125,             0.00096125
                     72,                0.51446,                0.60333,                 0.9805,                0.85872,                 0.5091,                0.59216,                0.56607,                0.51195,                0.51175,                0.59486,                0.57206,                0.41386,                0.48298,                0.60886,                 1.0567,                0.85968,             0.00095712,             0.00095712,             0.00095712
                     73,                0.49759,                0.55923,                0.99231,                0.85579,                 0.4943,                0.63072,                 0.5561,                 0.5101,                0.49995,                0.63568,                0.56329,                0.42464,                0.43428,                0.54001,                  1.132,                0.84784,               0.000953,               0.000953,               0.000953
                     74,                0.49317,                0.57216,                 1.0066,                 0.8648,                0.54184,                0.56245,                0.56372,                0.51718,                0.54563,                0.56695,                0.57187,                0.42212,                0.42526,                0.52401,                 1.0316,                0.84906,             0.00094887,             0.00094887,             0.00094887
                     75,                0.49377,                0.58575,                0.99406,                0.85307,                0.53392,                 0.5757,                0.58663,                0.54269,                0.53195,                 0.5845,                0.59244,                0.44499,                0.40192,                0.51179,                   1.03,                0.84224,             0.00094475,             0.00094475,             0.00094475
                     76,                0.50103,                 0.5895,                0.97942,                0.86886,                0.53136,                0.63431,                0.59663,                0.54807,                0.52741,                0.66125,                0.60049,                0.45113,                0.40862,                0.50461,                0.99146,                0.84087,             0.00094062,             0.00094062,             0.00094062
                     77,                0.48983,                0.57948,                0.99712,                0.85977,                0.48378,                0.63174,                0.56631,                0.52404,                 0.4882,                0.63763,                0.57326,                0.43376,                0.40196,                0.50931,                 1.0435,                0.84115,              0.0009365,              0.0009365,              0.0009365
                     78,                0.49771,                0.56479,                0.99377,                0.86655,                0.51045,                0.65828,                0.59055,                0.54366,                0.51387,                 0.6638,                0.59643,                0.45666,                0.40534,                0.51958,                 1.0405,                0.84719,             0.00093238,             0.00093238,             0.00093238
                     79,                0.49024,                0.57305,                0.96015,                0.86038,                0.56554,                0.60583,                0.59812,                0.54233,                0.56728,                0.60943,                 0.6029,                0.45066,                0.43766,                0.54199,                 1.0165,                0.84854,             0.00092825,             0.00092825,             0.00092825
                     80,                 0.4895,                0.56098,                 0.9709,                0.84791,                 0.5523,                0.62527,                0.58598,                0.53656,                0.55693,                0.63026,                0.59224,                0.44434,                0.41481,                0.50364,                 1.0184,                 0.8465,             0.00092413,             0.00092413,             0.00092413
                     81,                0.48918,                0.55483,                0.95385,                0.85736,                0.50225,                0.69133,                0.57827,                0.53463,                0.50588,                0.69186,                0.58499,                0.44739,                0.42986,                0.52371,                 1.1367,                0.85769,                0.00092,                0.00092,                0.00092
                     82,                0.48158,                0.57056,                0.97004,                0.85627,                0.49378,                0.66704,                 0.5949,                0.54663,                0.49622,                0.67023,                0.59996,                0.44979,                0.42304,                0.51175,                  1.025,                0.83867,             0.00091588,             0.00091588,             0.00091588
                     83,                0.47065,                0.55318,                0.96087,                0.85548,                0.53453,                0.64664,                0.61694,                 0.5682,                0.53848,                0.65163,                0.62378,                0.47004,                0.41535,                0.51789,                 1.0371,                0.84681,             0.00091175,             0.00091175,             0.00091175
                     84,                0.47644,                0.55436,                0.95299,                0.85464,                0.52636,                0.62678,                0.58712,                0.53967,                0.52905,                0.62997,                 0.5913,                0.43728,                0.40473,                0.50308,                 1.0291,                0.83917,             0.00090763,             0.00090763,             0.00090763
                     85,                0.48335,                0.56336,                0.95345,                0.85164,                0.50039,                0.63224,                0.57275,                0.52142,                0.50469,                0.63813,                0.57866,                 0.4367,                0.44707,                0.54581,                 1.0989,                0.85248,              0.0009035,              0.0009035,              0.0009035
